OBJECT_NAME,OBJECT_ID,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,COUNTRY_CODE,LAUNCH_DATE,SITE,RCS_SIZE,TLE_LINE1,TLE_LINE2
"VANGUARD R/B","1959-001B","125.831","3323.438","556.292","ROCKET BODY","US","1959-02-17","AFETR","MEDIUM","1    12U 59001B   21272.05490055  .00000276  00000-0  16827-3 0  9992","2    12  32.8965 151.2901 1663348  19.7890 346.0157 11.44390804576257"
"VANGUARD R/B","1958-002A","137.304","4226.313","649.876","ROCKET BODY","US","1958-03-17","AFETR","MEDIUM","1 00016U 58002A   21271.57634002  .00000184  00000-0  27881-3 0  9994","2 00016  34.2609 243.0673 2028326  51.4629 325.1024 10.48765638507982"
"THOR ABLESTAR R/B","1960-007C","99.849","916.977","585.678","ROCKET BODY","US","1960-06-22","AFETR","LARGE","1    47U 60007C   21272.44839451  .00000035  00000-0  32726-4 0  9998","2    47  66.6674 340.9118 0232345 318.6790  39.6931 14.42173662202749"
"DELTA 1 R/B","1960-009B","118.021","1682.496","1501.575","ROCKET BODY","US","1960-08-12","AFETR","MEDIUM","1 00050U 60009B   21271.22378924 -.00000131  00000-0 -44043-3 0  9995","2 00050  47.2302 109.4648 0113499 279.8509  78.9482 12.20116676727336"
"ECHO 1 DEB (METAL OBJ)","1960-009C","118.200","1685.032","1515.111","DEBRIS","US","1960-08-12","AFETR","MEDIUM","1 00051U 60009C   21271.44169831 -.00000149  00000-0 -61303-3 0  9992","2 00051  47.2151 339.5821 0106491 115.4066 245.7789 12.18273651721146"
"ECHO 1 DEB (MYLAR OBJ)","1960-009D","118.257","2724.756","480.558","DEBRIS","US","1960-08-12","AFETR","MEDIUM","1 00052U 60009D   76059.20960648 +.00000225 +00000-0 +10000-3 0  9997","2 00052 047.1450 002.7500 1406000 181.1400 000.0000 12.17682743007435"
"ECHO 1 DEB (METAL OBJ)","1960-009E","118.298","1683.150","1525.838","DEBRIS","US","1960-08-12","AFETR","MEDIUM","1 00053U 60009E   21271.21313631 -.00000077  00000-0  80193-4 0  9996","2 00053  47.2750 256.4834 0098534  22.2783 338.2245 12.17261326725541"
"THOR ABLESTAR R/B","1960-013B","106.431","1201.959","920.619","ROCKET BODY","US","1960-10-04","AFETR","LARGE","1 00059U 60013B   21271.47895829  .00000119  00000-0  37508-4 0  9997","2 00059  28.2509 334.0465 0189087 254.5122 103.4469 13.52987571  9678"
"SCOUT X-1 R/B","1961-004B","117.453","2500.440","632.423","ROCKET BODY","US","1961-02-16","WLPIS","MEDIUM","1 00082U 61004B   21271.30775695 -.00000080  00000-0 -33161-4 0  9994","2 00082  38.8565 265.9793 1175657 181.5693 178.1093 12.26019622865237"
"SCOUT X-1 DEB","1961-004C","101.254","1089.871","546.199","DEBRIS","US","1961-02-16","WLPIS","SMALL","1 00085U 61004C   21271.01340635  .00004194  00000-0  91666-3 0  9998","2 00085  38.7616 152.9037 0377751  18.8369 342.5942 14.22167020997647"
"THOR ABLE DEB (YO)","1960-002D","97.045","641.009","593.436","DEBRIS","US","1960-04-01","AFETR","SMALL","1   115U 60002D   21271.49505407  .00000356  00000-0  68946-4 0  9993","2   115  48.1661 183.1919 0034003 152.8227 207.4474 14.83842712282475"
"THOR ABLESTAR R/B","1961-015C","102.730","944.374","831.260","ROCKET BODY","US","1961-06-29","AFETR","LARGE","1 00118U 61015C   21271.43235906 -.00000001  00000-0  49966-4 0  9998","2 00118  66.7660  33.9344 0077839  41.2797 319.4136 14.01728731 74612"
"THOR ABLESTAR DEB","1961-015D","101.164","884.878","742.678","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   119U 61015D   21272.11467542  .00000181  00000-0  11069-3 0  9998","2   119  66.7289 172.4804 0098861  64.7293 296.4006 14.23430105113386"
"THOR ABLESTAR DEB","1961-015E","101.013","890.520","722.716","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   120U 61015E   21272.08961420  .00000142  00000-0  88941-4 0  9991","2   120  66.7054 236.1265 0116778 171.9040 188.3978 14.25558250103016"
"THOR ABLESTAR DEB","1961-015F","102.878","958.943","830.609","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   121U 61015F   21271.71876656 -.00000049  00000-0  19496-4 0  9993","2   121  66.7502   1.2797 0088227 130.8656 230.0116 13.99717355 85257"
"THOR ABLESTAR DEB","1961-015G","97.979","709.138","614.918","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   122U 61015G   21272.41993633  .00000967  00000-0  17508-3 0  9996","2   122  66.7525  22.2982 0066916 135.1833 225.4719 14.69699948160108"
"THOR ABLESTAR DEB","1961-015H","100.194","845.121","690.345","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   123U 61015H   21271.59721213  .00000144  00000-0  73800-4 0  9993","2   123  66.6859 324.6407 0108298  90.3511 271.0001 14.37210148132201"
"THOR ABLESTAR DEB","1961-015J","100.649","849.090","729.646","DEBRIS","US","1961-06-29","AFETR","SMALL","1   124U 61015J   21272.02595757  .00000218  00000-0  11216-3 0  9999","2   124  66.5424 119.2987 0083323 248.4818 110.7382 14.30707706112659"
"THOR ABLESTAR DEB","1961-015K","102.445","933.599","815.131","DEBRIS","US","1961-06-29","AFETR","SMALL","1   125U 61015K   21272.08118907  .00000053  00000-0  78571-4 0  9999","2   125  66.8749 272.4191 0081674 246.0906 113.1609 14.05630430 75569"
"THOR ABLESTAR DEB","1961-015L","100.243","813.400","726.748","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00126U 61015L   21271.49359163  .00000307  00000-0  13128-3 0  9993","2 00126  66.7145 351.9225 0060611  87.2575 273.5462 14.36504303116562"
"THOR ABLESTAR DEB","1961-015M","100.065","818.607","704.589","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   127U 61015M   21272.13210070  .00000352  00000-0  13736-3 0  9994","2   127  66.8309 202.4434 0079847 248.4815 110.7763 14.39063011118362"
"THOR ABLESTAR DEB","1961-015N","102.767","953.550","825.515","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   128U 61015N   21271.39543541 -.00000001  00000-0  50349-4 0  9998","2   128  66.6753 164.9200 0088085  57.5658 303.3906 14.01232446 74061"
"THOR ABLESTAR DEB","1961-015Q","102.949","956.332","839.948","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   130U 61015Q   21272.55010788 -.00000038  00000-0  27644-4 0  9994","2   130  66.7715 198.8921 0079975  55.4960 305.3642 13.98746849 71169"
"THOR ABLESTAR DEB","1961-015R","102.802","951.735","830.688","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   131U 61015R   21272.42416706  .00000011  00000-0  58513-4 0  9990","2   131  66.7346  72.5568 0083259 194.2460 165.6276 14.00746999 62713"
"THOR ABLESTAR DEB","1961-015S","103.274","973.425","853.461","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   132U 61015S   21272.41711444 -.00000019  00000-0  43471-4 0  9993","2   132  66.6585 266.2480 0082262 270.9648  88.2007 13.94345604 64091"
"THOR ABLESTAR DEB","1961-015T","101.522","865.504","795.981","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   133U 61015T   21272.21981538  .00000445  00000-0  25123-3 0  9990","2   133  67.1145 258.7376 0048220  71.0249 289.6063 14.18408441 89411"
"THOR ABLESTAR DEB","1961-015U","103.087","964.879","844.386","DEBRIS","US","1961-06-29","AFETR","LARGE","1 00134U 61015U   21271.46565987 -.00000029  00000-0  34081-4 0  9996","2 00134  66.8814 324.9423 0082725 349.3944  10.5390 13.96876780 65026"
"THOR ABLESTAR DEB","1961-015W","100.426","819.109","738.445","DEBRIS","US","1961-06-29","AFETR","SMALL","1   136U 61015W   21272.33490123  .00000403  00000-0  16994-3 0  9991","2   136  67.5323   5.0013 0056354 166.9214 193.3370 14.33884640109860"
"THOR ABLESTAR DEB","1961-015Y","102.720","907.597","867.059","DEBRIS","US","1961-06-29","AFETR","SMALL","1   138U 61015Y   21272.51543157  .00000154  00000-0  15074-3 0  9990","2   138  67.1574  10.4481 0027898  19.6833 340.5324 14.01870292 61738"
"THOR ABLESTAR DEB","1961-015AB","103.821","974.244","904.094","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   141U 61015AB  21272.09747702  .00000189  00000-0  22553-3 0  9997","2   141  66.5888 304.1118 0047934  93.8550 266.8007 13.86998942 33200"
"THOR ABLESTAR DEB","1961-015AE","103.584","957.014","899.013","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00144U 61015AE  21271.46339178  .00000039  00000-0  94617-4 0  9999","2 00144  66.5010 325.7061 0039693   9.3107 350.8695 13.90176702 45071"
"THOR ABLESTAR DEB","1961-015AF","102.751","931.733","845.873","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   145U 61015AF  21272.44731371  .00000136  00000-0  13957-3 0  9995","2   145  66.9276 325.6482 0059076 129.0138 231.6229 14.01443364 75792"
"THOR ABLESTAR DEB","1961-015AH","101.458","870.357","785.034","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00147U 61015AH  21271.35312311  .00000067  00000-0  70491-4 0  9995","2 00147  66.6181 139.2382 0059204 204.2359 155.5946 14.19308232 89606"
"THOR ABLESTAR DEB","1961-015AJ","102.420","976.059","770.313","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   148U 61015AJ  21272.13887327  .00000486  00000-0  31946-3 0  9993","2   148  65.7749 302.9537 0141868 120.7690 240.7445 14.05973408517027"
"THOR ABLESTAR DEB","1961-015AL","104.242","1005.859","911.971","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00150U 61015AL  21271.47916333  .00000152  00000-0  21352-3 0  9992","2 00150  66.2485 183.8135 0063982 182.9916 177.0781 13.81403421870364"
"THOR ABLESTAR DEB","1961-015AN","102.176","977.816","745.520","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00152U 61015AN  21271.55204373 -.00000080  00000-0  14505-5 0  9992","2 00152  66.5883  22.2218 0160430 285.1997  73.1404 14.09329849 83164"
"THOR ABLESTAR DEB","1961-015AQ","102.522","934.772","821.259","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   154U 61015AQ  21272.09797739  .00000164  00000-0  14906-3 0  9992","2   154  66.6587 166.2146 0078218 119.6017 241.2890 14.04569808 75077"
"THOR ABLESTAR DEB","1961-015AR","100.024","792.537","726.776","DEBRIS","US","1961-06-29","AFETR","SMALL","1   155U 61015AR  21272.16730487  .00000457  00000-0  17144-3 0  9990","2   155  66.8799 166.3718 0046065 164.3364 195.9178 14.39650115112849"
"THOR ABLESTAR DEB","1961-015AU","113.802","1879.358","922.518","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   158U 61015AU  21272.48721210  .00000063  00000-0  29757-3 0  9998","2   158  67.0754 333.8715 0615009 209.3490 147.1643 12.65350886787454"
"THOR ABLESTAR DEB","1961-015AV","110.587","1528.598","978.788","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   159U 61015AV  21272.44349442  .00000095  00000-0  38592-3 0  9990","2   159  65.5247  78.6562 0360209  95.1403 269.0827 13.02146613857115"
"DELTA 1 DEB (YO)","1961-017D","101.208","882.114","749.621","DEBRIS","US","1961-07-12","AFETR","SMALL","1 00167U 61017D   21271.09604048  .00000194  00000-0  14609-3 0  9990","2 00167  47.8465  58.9926 0092086 258.6031 100.4496 14.22809848119213"
"THOR ABLESTAR DEB","1961-015AY","106.069","1147.528","941.316","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00172U 61015AY  21271.39805113  .00000048  00000-0  15277-3 0  9993","2 00172  67.0674 146.5520 0138909 209.2481 150.0756 13.57601899971124"
"THOR ABLESTAR DEB","1961-015BB","101.870","935.383","758.987","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00177U 61015BB  21271.42203327  .00000278  00000-0  17822-3 0  9994","2 00177  66.6653 281.3845 0122068 218.8500 140.3769 14.13569440 97578"
"THOR ABLESTAR DEB","1961-015BC","103.418","975.970","864.473","DEBRIS","US","1961-06-29","AFETR","SMALL","1   178U 61015BC  21272.38437350 -.00000010  00000-0  50291-4 0  9999","2   178  66.8641 246.8036 0076385 147.8803 212.6965 13.92403779 57927"
"MIDAS 3 DEB","1961-018C","161.110","3529.522","3329.944","DEBRIS","US","1961-07-12","AFWTR","MEDIUM","1 00188U 61018C   21271.07486610 -.00000011  00000-0 -42266-2 0  9994","2 00188  91.1586 133.5877 0101744 109.7562 251.4317  8.93801016964255"
"MIDAS 4 DEB","1961-028C","165.502","4002.673","3211.696","DEBRIS","US","1961-10-21","AFWTR","MEDIUM","1 00194U 61028C   21271.38835105  .00000003  00000-0  20579-2 0  9995","2 00194  95.8361 243.7144 0396070  81.5810 282.9728  8.70081264903423"
"MIDAS 4 DEB","1961-028D","166.356","3774.703","3508.321","DEBRIS","US","1961-10-21","AFWTR","MEDIUM","1 00195U 61028D   21271.23906648 -.00000019  00000-0 -69663-2 0  9997","2 00195  95.8470 203.4966 0132930 306.1974  52.6647  8.65613709893968"
"MIDAS 3 DEB","1961-018D","161.856","3573.787","3346.201","DEBRIS","US","1961-07-12","AFWTR","MEDIUM","1 00196U 61018D   21270.98751694 -.00000022  00000-0 -85777-2 0  9995","2 00196  91.1721 129.1321 0115665  24.2436 336.3821  8.89680320955451"
"THOR ABLESTAR R/B","1961-031C","105.503","1090.846","945.123","ROCKET BODY","US","1961-11-15","AFETR","LARGE","1   204U 61031C   21272.41590786  .00000040  00000-0  19283-4 0  9992","2   204  32.4430  58.8813 0098513 168.4992 191.7907 13.64887574988048"
"THOR ABLESTAR DEB","1961-015BE","103.881","980.256","903.700","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   210U 61015BE  21271.73475375  .00000198  00000-0  23692-3 0  9993","2   210  66.4566 285.7518 0052292 307.2391  52.3918 13.86200610 26844"
"THOR ABLESTAR DEB","1961-015BK","103.697","978.868","887.770","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00223U 61015BK  21271.49575204 -.00000038  00000-0  30329-4 0  9992","2 00223  66.8908 178.3727 0062298 116.0188 244.7324 13.88663935 51658"
"THOR ABLESTAR DEB","1961-015BL","102.257","913.955","816.995","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   224U 61015BL  21272.20070455  .00000006  00000-0  49957-4 0  9992","2   224  66.7369 184.3725 0066928 174.3343 336.7607 14.08219009 70174"
"THOR ABLESTAR DEB","1961-015BM","100.579","859.907","712.183","DEBRIS","US","1961-06-29","AFETR","SMALL","1   225U 61015BM  21272.48752464  .00000316  00000-0  14203-3 0  9999","2   225  66.7991  86.7104 0103099  67.3364 293.8598 14.31703282111228"
"DELTA 1 DEB (YO)","1962-002B","100.116","858.015","670.007","DEBRIS","US","1962-02-08","AFETR","SMALL","1   227U 62002B   21272.01222458 -.00000073  00000-0  29467-4 0  9992","2   227  48.1467 152.0202 0131619 174.2769 185.9663 14.38333825116996"
"DELTA 1 DEB (YO)","1962-002C","95.882","571.892","550.493","DEBRIS","US","1962-02-08","AFETR","SMALL","1   228U 62002C   21272.28136918  .00000887  00000-0  86862-4 0  9991","2   228  48.4309 354.8971 0015419 226.6478 133.3162 15.01850383205802"
"THOR ABLESTAR DEB","1961-015BN","103.141","977.664","836.680","DEBRIS","US","1961-06-29","AFETR","SMALL","1   230U 61015BN  21272.48905047 -.00000007  00000-0  49140-4 0  9999","2   230  66.8841 318.4584 0096759 330.5365  29.0283 13.96146446 65867"
"THOR ABLESTAR DEB","1961-015BQ","102.904","942.967","849.067","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   232U 61015BQ  21272.15317646 -.00000031  00000-0  31736-4 0  9996","2   232  66.8207 159.3385 0064543 253.5408 105.8576 13.99359173 66432"
"THOR ABLESTAR DEB","1961-015BR","98.466","701.876","668.784","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   233U 61015BR  21272.51008552  .00001176  00000-0  25078-3 0  9991","2   233  66.8503 321.9183 0023425  26.3175 333.9125 14.62433382125252"
"THOR ABLESTAR DEB","1961-015BS","102.686","941.550","829.945","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00234U 61015BS  21271.33617849  .00000070  00000-0  94690-4 0  9995","2 00234  66.8752 121.6789 0076822 298.9528  60.3870 14.02327846 69733"
"THOR ABLESTAR DEB","1961-015BT","102.216","985.182","741.919","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00235U 61015BT  21271.38757448  .00000239  00000-0  16198-3 0  9994","2 00235  66.9537 267.6965 0167960 192.4473 167.2445 14.08780265 78463"
"THOR ABLESTAR DEB","1961-015BY","103.041","919.603","885.328","DEBRIS","US","1961-06-29","AFETR","SMALL","1   243U 61015BY  21272.41956018  .00000288  00000-0  26140-3 0  9994","2   243  66.4667   6.9897 0023539 123.9635 236.3686 13.97500457 42962"
"THOR ABLESTAR DEB","1961-015BZ","103.247","967.254","857.073","DEBRIS","US","1961-06-29","AFETR","SMALL","1   244U 61015BZ  21272.34132036  .00000002  00000-0  57688-4 0  9999","2   244  66.8402 137.2351 0075567 231.0830 128.3498 13.94712942 59390"
"THOR ABLESTAR DEB","1961-015CA","101.838","879.576","811.824","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   245U 61015CA  21272.21046520  .00000491  00000-0  30095-3 0  9992","2   245  66.0813 359.0920 0046895 137.1840 223.2913 14.14005212 84500"
"THOR ABLESTAR DEB","1961-015CB","103.911","996.441","890.336","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   246U 61015CB  21271.80255665 -.00000040  00000-0  30488-4 0  9997","2   246  66.8712  31.3840 0072461 268.2375  91.0402 13.85799931385665"
"THOR ABLESTAR DEB","1961-015CD","104.627","1014.181","939.794","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00252U 61015CD  21271.45722625  .00000136  00000-0  21030-3 0  9997","2 00252  67.0772 289.2342 0050568  20.5784  92.7725 13.76315203 14143"
"THOR ABLESTAR DEB","1961-015CE","98.575","704.568","676.543","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00253U 61015CE  21271.09443610  .00001042  00000-0  23240-3 0  9994","2 00253  66.9265 157.5265 0019823  65.0295 295.2877 14.60811917124743"
"THOR ABLESTAR DEB","1961-015CF","99.822","804.602","695.463","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00254U 61015CF  21271.57655234  .00000521  00000-0  17810-3 0  9992","2 00254  66.7762 215.5445 0076555 302.8339  56.5410 14.42566795124488"
"THOR ABLESTAR DEB","1961-015CG","100.358","813.155","737.877","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00260U 61015CG  21271.49611171  .00000401  00000-0  16863-3 0  9996","2 00260  66.7696  79.2660 0052615 322.2175  37.5236 14.34865218108514"
"THOR ABLESTAR DEB","1961-015CH","102.858","953.494","834.192","DEBRIS","US","1961-06-29","AFETR","SMALL","1   261U 61015CH  21272.40862573  .00000004  00000-0  55038-4 0  9990","2   261  66.6837  25.5457 0082029  73.8771 287.1322 13.99986764 70991"
"THOR ABLESTAR DEB","1961-015CJ","99.819","810.630","689.147","DEBRIS","US","1961-06-29","AFETR","SMALL","1   262U 61015CJ  21271.96498737  .00001036  00000-0  32560-3 0  9998","2   262  66.4630  80.7984 0085215 208.6543 150.9865 14.42610488109408"
"THOR ABLESTAR DEB","1961-015CK","99.972","830.122","684.249","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00263U 61015CK  21271.48527681  .00000224  00000-0  94339-4 0  9998","2 00263  66.5303  84.7661 0102219  39.6533 352.5573 14.40397987134697"
"THOR ABLESTAR DEB","1961-015CL","100.857","816.338","782.115","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   264U 61015CL  21271.97614760  .00000543  00000-0  25388-3 0  9999","2   264  66.5265 107.1821 0023841 152.7013 207.5342 14.27761067 87459"
"THOR ABLESTAR DEB","1961-015CN","115.148","1972.239","952.070","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00268U 61015CN  21271.08629758  .00000358  00000-0  12224-2 0  9996","2 00268  67.9375 125.6670 0650594 310.6031 218.9554 12.50560267737718"
"MIDAS 5 DEB","1962-010C","152.582","3361.286","2799.749","DEBRIS","US","1962-04-09","AFWTR","MEDIUM","1   273U 62010C   21271.53408264 -.00000007  00000-0 -21356-2 0  9994","2   273  86.6827 188.9700 0296838 188.4326 171.1520  9.43754120 49108"
"MIDAS 5 DEB","1962-010D","153.295","3436.677","2783.258","DEBRIS","US","1962-04-09","AFWTR","MEDIUM","1   274U 62010D   21271.56821855  .00000080  00000-0  15139-1 0  9993","2   274  86.6679 222.9475 0344336 109.7028 254.1358  9.39363601 39424"
"THOR ABLESTAR DEB","1961-015CQ","105.267","1148.262","865.658","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00299U 61015CQ  21271.46204741  .00000010  00000-0  82021-4 0  9992","2 00299  67.1681  65.7340 0191334 136.5936 225.0383 13.67945093993360"
"DELTA 1 DEB (YO)","1962-025C","98.993","860.185","560.857","DEBRIS","US","1962-06-19","AFETR","SMALL","1 00312U 62025C   21271.01917827  .00000092  00000-0  52332-4 0  9999","2 00312  58.2479 182.9023 0211132 171.6602 188.8027 14.54644700107660"
"THOR ABLESTAR DEB","1961-015CU","96.873","663.207","554.719","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00318U 61015CU  21271.13359542  .00001221  00000-0  14524-3 0  9995","2 00318  66.5360 196.7861 0077635 249.9304 109.3454 14.86474659155693"
"THOR ABLESTAR DEB","1961-015CW","100.892","904.516","697.201","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   320U 61015CW  21272.20744522  .00000029  00000-0  42367-4 0  9995","2   320  66.9065 181.2300 0144390 262.0202  96.4490 14.27274077122445"
"THOR ABLESTAR DEB","1961-015CZ","101.884","908.807","786.916","DEBRIS","US","1961-06-29","AFETR","SMALL","1   323U 61015CZ  21272.40689867  .00000348  00000-0  22066-3 0  9997","2   323  66.8428 146.8636 0084342 268.5618  90.5810 14.13370865 85436"
"THOR ABLESTAR DEB","1961-015DA","102.098","911.691","804.219","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00324U 61015DA  21271.44603265  .00000201  00000-0  15401-3 0  9992","2 00324  66.8677  54.4903 0074261 219.8727 139.6894 14.10414611 79900"
"THOR ABLESTAR DEB","1961-015DB","101.520","878.597","782.670","DEBRIS","US","1961-06-29","AFETR","SMALL","1   325U 61015DB  21272.43636829  .00000169  00000-0  11864-3 0  9997","2   325  66.9159 178.8768 0066535 254.0609 105.3147 14.18440680 89020"
"THOR ABLESTAR DEB","1961-015DD","103.615","1012.004","846.933","DEBRIS","US","1961-06-29","AFETR","SMALL","1   327U 61015DD  21272.50005904  .00000016  00000-0  73387-4 0  9991","2   327  66.5433 312.2984 0112945 170.5783 189.7449 13.89761587 47900"
"THOR ABLESTAR DEB","1961-015DF","105.468","1097.254","935.452","DEBRIS","US","1961-06-29","AFETR","SMALL","1   329U 61015DF  21271.74919126  .00000038  00000-0  12975-3 0  9997","2   329  66.7788  88.8245 0109407  59.7370 315.1696 13.65339417995281"
"THOR ABLESTAR DEB","1961-015DG","102.669","924.281","845.569","DEBRIS","US","1961-06-29","AFETR","SMALL","1   330U 61015DG  21271.68426675  .00000293  00000-0  23718-3 0  9994","2   330  66.9795 254.2541 0054187 322.7611  36.9722 14.02565987 55332"
"THOR ABLESTAR DEB","1961-015DK","98.763","739.135","659.877","DEBRIS","US","1961-06-29","AFETR","SMALL","1   333U 61015DK  21271.68280748  .00000724  00000-0  17567-3 0  9990","2   333  66.7118 255.8474 0055992 180.5472 179.5590 14.58041871136513"
"THOR ABLESTAR DEB","1961-015DL","103.501","987.023","861.174","DEBRIS","US","1961-06-29","AFETR","SMALL","1   334U 61015DL  21272.43833531 -.00000036  00000-0  30986-4 0  9997","2   334  66.9249  51.4995 0086172 266.9731  92.1486 13.91294832 56956"
"THOR ABLESTAR DEB","1961-015DM","101.584","861.700","805.650","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00335U 61015DM  21271.54412133  .00000337  00000-0  20471-3 0  9990","2 00335  66.8417 215.8859 0038860 355.9520   4.1253 14.17543326 82750"
"THOR ABLESTAR DEB","1961-015DN","105.226","1067.348","942.655","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00336U 61015DN  21271.32903154  .00000001  00000-0  82299-4 0  9990","2 00336  67.0289 249.0858 0084444 286.8209 191.2162 13.68489294  3404"
"THOR ABLESTAR DEB","1961-015DP","104.760","1055.081","911.325","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00337U 61015DP  21271.61155396 -.00000078  00000-0 -61324-5 0  9993","2 00337  67.0111  25.6856 0097643  58.1642 302.8890 13.74572376  7897"
"DELTA 1 R/B","1962-029B","157.507","5618.608","947.309","ROCKET BODY","US","1962-07-10","AFETR","MEDIUM","1 00341U 62029B   21271.13637883  .00000122  00000-0  13087-2 0  9995","2 00341  44.7915 190.4894 2417583  65.3770  43.9077  9.14246605977542"
"THOR ABLESTAR DEB","1961-015DQ","101.351","913.414","731.864","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   350U 61015DQ  21272.14722127  .00000091  00000-0  73739-4 0  9994","2   350  66.9130 315.7417 0126063  10.7382 349.6357 14.20803365118720"
"THOR ABLESTAR DEB","1961-015DR","99.035","741.523","683.471","DEBRIS","US","1961-06-29","AFETR","SMALL","1   351U 61015DR  21272.10517755  .00000817  00000-0  21398-3 0  9999","2   351  66.7512 169.1279 0040936 213.3905 146.4624 14.54036586125746"
"THOR ABLESTAR DEB","1961-015DT","96.357","599.596","568.592","DEBRIS","US","1961-06-29","AFETR","SMALL","1   353U 61015DT  21272.04796380  .00005114  00000-0  48295-3 0  9997","2   353  66.5015 143.5932 0022266 309.4864  50.4296 14.94446370144541"
"THOR ABLESTAR DEB","1961-015DU","106.800","1198.746","958.196","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00354U 61015DU  21271.55233841 -.00000112  00000-0 -68334-4 0  9993","2 00354  67.0668  15.1353 0161300  72.4855 302.5427 13.48313771245559"
"THOR ABLESTAR DEB","1961-015DV","108.094","1324.176","952.997","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00355U 61015DV  21271.34488609  .00000641  00000-0  12299-2 0  9997","2 00355  67.2247 156.4173 0246902 344.2137 118.7904 13.32171276919469"
"THOR ABLESTAR DEB","1961-015DX","102.548","889.176","869.258","DEBRIS","US","1961-06-29","AFETR","SMALL","1   357U 61015DX  21271.60906466  .00000387  00000-0  29337-3 0  9993","2   357  66.8094 241.8968 0013722 316.9932  43.0080 14.04221056 54016"
"THOR ABLESTAR DEB","1961-015EB","99.905","781.547","726.409","DEBRIS","US","1961-06-29","AFETR","SMALL","1   402U 61015EB  21272.28902529  .00001025  00000-0  34025-3 0  9995","2   402  66.6619 235.6807 0038655 162.9983 197.2426 14.41369807 91462"
"THOR ABLESTAR DEB","1961-015EC","104.288","981.203","940.976","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00403U 61015EC  21271.48965657 -.00000041  00000-0  31692-4 0  9994","2 00403  66.8396  96.0971 0027405 287.7139  98.9159 13.80789617 33281"
"THOR ABLESTAR DEB","1961-015ED","111.583","1727.451","871.522","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00404U 61015ED  21271.26255713  .00000087  00000-0  28015-3 0  9999","2 00404  66.4698 111.9524 0557418  13.2591 348.2420 12.90514001820807"
"THOR ABLESTAR DEB","1961-015EE","105.428","1082.583","946.314","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00405U 61015EE  21271.52317428 -.00000080  00000-0 -10496-4 0  9991","2 00405  66.8925 222.4205 0092166 281.5019 182.2540 13.65866895996861"
